171,0,1.0,1.0,0.5,IlxxxlI,l3ae
172,0,0.6,0.25,0.1,MNspecktacular,IlxxxlI
173,0,2.5,1.0,0.5,IlxxxlI,Ice Bank Mice Elf
174,0,2.5,1.0,0.5,Portly23,Pimpika
175,3,60.0,1.0,0.5,Ice Bank Mice Elf,FirstClan
176,3,10.15,0.25,0.1,Flushdogg,ISULDURR
177,2,5.11,0.25,0.1,swill300857,solasso
178,3,2.55,0.25,0.1,Parcker,MNspecktacular
179,0,2.5,1.0,0.5,Ice Bank Mice Elf,IlxxxlI
180,2,6.18,1.0,0.5,pineapplesand,Pimpika
181,0,2.0,1.0,0.5,IlxxxlI,Portly23
182,0,1.0,1.0,0.5,winnipuh,Ice Bank Mice Elf
183,0,0.6,0.25,0.1,BadOutfit,swill300857
184,1,1.52,0.25,0.1,Parcker,Flushdogg
185,2,4.28,1.0,0.5,IlxxxlI,Ice Bank Mice Elf
186,0,0.6,0.25,0.1,IlxxxlI,Parcker
187,2,1.19,0.25,0.1,dtnfk,Parcker
188,3,46.99,1.0,0.5,_robbyJ,IlxxxlI
189,1,0.57,0.25,0.1,dtnfk,Parcker
190,0,1.0,1.0,0.5,AironVega,IlxxxlI
191,0,2.0,1.0,0.5,Portly23,pineapplesand
192,3,26.89,1.0,0.5,WomboComboAA,IlxxxlI
193,0,2.5,1.0,0.5,Portly23,winnipuh
194,0,0.6,0.25,0.1,DarkKnight247,BadOutfit
195,0,1.0,1.0,0.5,Pimpika,AironVega
196,0,0.6,0.25,0.1,FirstClan,dtnfk
197,0,0.6,0.25,0.1,FirstClan,dtnfk
198,1,1.52,0.25,0.1,dtnfk,IlxxxlI
199,0,2.0,1.0,0.5,AironVega,Portly23
200,1,11.88,1.0,0.5,twoakers,_robbyJ
201,0,5.5,1.0,0.5,Portly23,Pimpika
202,0,0.6,0.25,0.1,IlxxxlI,DarkKnight247
203,1,1.9,1.0,0.5,l3ae,Portly23
204,0,2.5,1.0,0.5,gust,AironVega
205,1,1.76,0.25,0.1,Zzzzzzz10,FirstClan
206,0,1.0,1.0,0.5,gust,Portly23
207,3,88.5,1.0,0.5,Pimpika,WomboComboAA
208,0,0.6,0.25,0.1,CodyCap,Zzzzzzz10
209,0,1.85,0.25,0.1,Parcker,IlxxxlI
210,3,2.5,0.25,0.1,bclever,FirstClan
211,1,5.7,1.0,0.5,Pimpika,twoakers
212,0,4.5,1.0,0.5,IlxxxlI,gust
213,2,3.8,1.0,0.5,IlxxxlI,gust
214,1,5.23,1.0,0.5,FirstClan,Pimpika
215,3,8.32,0.25,0.1,ISULDURR,dtnfk
216,0,1.0,1.0,0.5,Pimpika,IlxxxlI
217,0,2.5,1.0,0.5,Pimpika,IlxxxlI
218,1,2.38,0.25,0.1,joeyzzz,Parcker
219,0,0.5,0.25,0.1,IlxxxlI,bclever
220,0,1.0,1.0,0.5,Portly23,Pimpika
221,0,2.5,1.0,0.5,Portly23,Pimpika
222,3,2.65,0.25,0.1,IlxxxlI,CodyCap
223,3,9.69,1.0,0.5,IlxxxlI,l3ae
224,0,0.6,0.25,0.1,Ice Bank Mice Elf,joeyzzz
225,3,14.59,0.25,0.1,Flushdogg,ISULDURR
226,3,87.5,1.0,0.5,Ice Bank Mice Elf,FirstClan
227,0,1.0,1.0,0.5,Ice Bank Mice Elf,IlxxxlI
228,3,36.58,1.0,0.5,scootie,stealthmc
229,0,0.6,0.25,0.1,xx10jqkaxx,Ice Bank Mice Elf
230,0,2.5,1.0,0.5,AironVega,Portly23
231,2,0.57,0.25,0.1,Parcker,Flushdogg
232,2,4.85,1.0,0.5,gust,Portly23
233,3,0.57,0.25,0.1,MNspecktacular,IlxxxlI
234,0,2.5,1.0,0.5,gust,AironVega
235,1,2.14,0.25,0.1,Parcker,IlxxxlI
236,1,15.68,1.0,0.5,winnipuh,Ice Bank Mice Elf
237,1,0.48,0.25,0.1,solasso,xx10jqkaxx
238,1,5.7,1.0,0.5,AironVega,scootie
239,0,2.5,1.0,0.5,IlxxxlI,gust
240,0,3.25,0.25,0.1,IlxxxlI,Parcker
241,0,2.5,1.0,0.5,IlxxxlI,gust
242,3,10.91,0.25,0.1,Parcker,MNspecktacular
243,0,2.5,1.0,0.5,Portly23,winnipuh
244,3,4.75,1.0,0.5,Open_Seat,Ice Bank Mice Elf
245,1,5.23,1.0,0.5,gust,AironVega
246,2,1.76,0.25,0.1,dtnfk,IlxxxlI
247,1,2.38,1.0,0.5,Gargantuatua,Portly23
248,1,6.18,1.0,0.5,Gargantuatua,IlxxxlI
249,3,0.57,0.25,0.1,dtnfk,Parcker
250,3,12.22,1.0,0.5,IlxxxlI,Open_Seat
251,1,4.37,0.25,0.1,dtnfk,Parcker
252,1,1.52,0.25,0.1,GIGANTORR,dtnfk
253,1,6.18,1.0,0.5,Pimpika,IlxxxlI
254,0,2.5,1.0,0.5,l3ae,Gargantuatua
255,0,13.0,1.0,0.5,Pimpika,Gargantuatua
256,0,0.6,0.25,0.1,FirstClan,dtnfk
257,1,7.13,1.0,0.5,Ice Bank Mice Elf,gust
258,2,7.6,0.25,0.1,swill300857,solasso
259,0,2.5,1.0,0.5,Ice Bank Mice Elf,Pimpika
260,1,4.28,1.0,0.5,WomboComboAA,IlxxxlI
261,0,0.6,0.25,0.1,bclever,FirstClan
262,3,1.52,0.25,0.1,FirstClan,dtnfk
263,0,2.5,1.0,0.5,FirstClan,WomboComboAA
264,0,2.0,1.0,0.5,IlxxxlI,l3ae
265,0,0.6,0.25,0.1,IlxxxlI,bclever
266,0,0.6,0.25,0.1,BadOutfit,swill300857
267,0,1.0,1.0,0.5,Portly23,Ice Bank Mice Elf
268,0,2.5,1.0,0.5,IlxxxlI,Ice Bank Mice Elf
269,3,1.52,0.25,0.1,ISULDURR,GIGANTORR
270,2,5.7,1.0,0.5,Portly23,Pimpika
271,1,1.42,0.25,0.1,CodyCap,FirstClan
272,0,5.5,1.0,0.5,Ice Bank Mice Elf,FirstClan
273,0,1.0,1.0,0.5,gust,Portly23
274,0,2.5,1.0,0.5,AironVega,Portly23
